,P4450,DELTA,VEGA
2023-03-20,469.55,,
2023-03-21,420.6,,
2023-03-22,479.0,,
2023-03-23,499.99,,
2023-03-24,449.25,,
2023-03-27,440.5,,
2023-03-28,447.4,,
2023-03-29,397.29999999999995,,
2023-03-30,376.3,,
2023-03-31,326.73,,
2023-04-03,310.1,,
2023-04-04,330.25,,
2023-04-05,348.9,,
2023-04-06,328.1,,
2023-04-10,319.05,,
2023-04-11,310.1,,
2023-04-12,336.9,,
2023-04-13,288.5,,
2023-04-14,292.15,,
2023-04-17,279.75,,
2023-04-18,278.45,,
2023-04-19,281.75,,
2023-04-20,298.75,,
2023-04-21,297.45000000000005,,
2023-04-24,293.1,,
2023-04-25,341.54999999999995,,
2023-04-26,378.43,,
2023-04-27,295.75,,
2023-04-28,261.4,,
2023-05-01,266.75,,
2023-05-02,311.69,,
2023-05-03,334.6,,
2023-05-04,381.27,,
2023-05-05,300.35,,
2023-05-08,296.95000000000005,,
2023-05-09,313.05,,
2023-05-10,295.4,,
2023-05-11,306.3,,
2023-05-12,315.5,,
2023-05-15,299.2,,
2023-05-16,305.63,,
2023-05-17,279.35,,
2023-05-18,239.6,-0.965,1.0848
2023-05-19,250.05,-0.8935,2.384
2023-05-22,244.1,-0.9805,0.6061
2023-05-23,290.5,-0.9488,0.9147
2023-05-24,313.5,-0.9785,0.524
2023-05-25,304.58,-0.9545,0.8774
2023-05-26,240.59,-0.9546,0.8829
2023-05-30,238.5,-0.9537,0.7734
2023-05-31,261.55,-0.9789,0.4361
2023-06-01,217.8,-0.993,0.2361
2023-06-02,163.7,-0.931,1.1447
2023-06-05,148.83,-0.9869,0.1951
2023-06-06,159.9,-0.9624,0.5888
2023-06-07,176.35,-0.9965,0.0873
2023-06-08,154.5,-0.9442,0.8325
2023-06-09,145.8,-0.9708,0.5164
2023-06-12,109.4,-0.9957,0.0576
2023-06-13,94.35,-0.946,0.5596
2023-06-14,72.72,-0.9793,0.1673
2023-06-15,23.6,-0.7502,0.9419
